PRINCÍPIO ATIVO,REGISTRO,PRODUTO,APRESENTAÇÃO,CLASSE TERAPÊUTICA,RESTRIÇÃO HOSPITALAR
ACEBROFILINA,1023506580029,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1023507750025,BRONCOLEX,10 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED X 10 ML,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1057301270065,BRONDILAT,10 MG / ML XPE CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1057301270091,BRONDILAT,10 MG / ML XPE CT FR PLAS PET AMB X 60 ML + CP MED X 10 ML,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1049713180054,ACEBROFILINA,10 MG/ML XPE CT FR PET AMB X 120 ML + COP,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1004311580023,FILINAR,10 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1004307850021,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1267500710022,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1267500710049,ACEBROFILINA,10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1256801590063,ACEBROFILINA,10 MG/ ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP),R05C0 - EXPECTORANTES,Sim
ACEBROFILINA,1256801590071,ACEBROFILINA,10 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1256801590101,ACEBROFILINA,10 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1256801590098,ACEBROFILINA,10 MG/ML XPE CX 50 FR PLAS OPC X 120 ML + 50 CP MED (EMB HOSP),R05C0 - EXPECTORANTES,Sim
ACEBROFILINA,1038501090048,LISOMUC,10 MG / ML XPE CT FR VD AMB X 100 ML + COP ,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1038501090056,LISOMUC,10 MG / ML XPE CT FR PET AMB X 120 ML + COP,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1038501090064,LISOMUC,10 MG / ML XPE CX 50 FR PET AMB X 120 ML + COP (EMB HOSP),R05C0 - EXPECTORANTES,Sim
ACEBROFILINA,1356903940019,EXPECDILAT,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1438101310021,ACEBROFILINA,5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1438101310046,ACEBROFILINA,5 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP),R05C0 - EXPECTORANTES,Sim
ACEBROFILINA,1542301160077,BRONTEK,5 MG/ML XPE CT FR PEAD X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1542301160085,BRONTEK,5 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP),R05C0 - EXPECTORANTES,Sim
ACEBROFILINA,1542301230032,ACEBROFILINA,5MG/ML XPE CT FR VD AMB X 120ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1542301230075,ACEBROFILINA,5 MG/ML XPE CT FR PEAD X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1542301230083,ACEBROFILINA,5 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP),R05C0 - EXPECTORANTES,Sim
ACEBROFILINA,1542301160034,BRONTEK,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1677301840018,BRONCOLEX,5 MG/ML XPE INF CT FR VD AMB X 120 ML + CP MED X 10 ML,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1677303210011,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1779400170021,BRONFILIL,5 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1832600370016,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + DOSADOR  ,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1053501620016,RESPIRAN,5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1037004620091,ACEBROFILINA,5 MG/ML XPE CT FR PLAS OPC X 120ML + COP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1037004620296,ACEBROFILINA,5MG/ML XPE CT FR PLAS AMB X 120ML + COP,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1037004620016,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120ML ,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1037005630066,DILABRONCO,5 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1046502310026,BRONDYNEO,25MG/5ML XPE INF (VD C/120ML),R05C0 - EXPECTORANTES,Sim
ACEBROFILINA,1046504180014,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1058303150014,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1121303330036,ACEBROFILINA,5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1121303330011,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ,R05C0 - EXPECTORANTES,Sim
ACEBROFILINA,1023506580010,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1023507750017,BRONCOLEX,5 MG/ML XPE INF CT FR VD AMB X 120 ML + CP MED X 10 ML,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1057301270073,BRONDILAT,5 MG / ML XPE CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1057301270111,BRONDILAT,5 MG / ML XPE CT FR PLAS PET AMB X 60 ML + CP MED X 10 ML,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1049713180011,ACEBROFILINA,5MG/ML XPE CT FR VD AMB X 120ML + SER DOSAD,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1004311580015,FILINAR,5 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1004307850011,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1267500710014,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED  ,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1267500710030,ACEBROFILINA,5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1256801590020,ACEBROFILINA,5 MG/ ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP),R05C0 - EXPECTORANTES,Sim
ACEBROFILINA,1256801590039,ACEBROFILINA,5 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1256801590111,ACEBROFILINA,5 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1256801590128,ACEBROFILINA,5 MG/ML XPE CX 50 FR PLAS OPC X 120 ML + 50 CP MED (EMB HOSP),R05C0 - EXPECTORANTES,Sim
ACEBROFILINA,1038501090013,LISOMUC,5 MG / ML XPE  CT FR VD AMB X 100 ML + COP,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1038501090021,LISOMUC,5 MG / ML XPE CT FR PET AMB X 120 ML + COP,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1038501090031,LISOMUC,5 MG / ML XPE CX  50 FR PET AMB X 120 ML + COP (EMB HOSP),R05C0 - EXPECTORANTES,Sim
ACECLOFENACO,1677303570034,ACECLOFENACO,100 MG COM REV CT BL AL AL X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Não
ACECLOFENACO,1677300650101,ACECLO-GRAN,100 MG COM REV CT BL AL AL X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Não
ACECLOFENACO,1039200560043,CECLOFLAN,100 MG COM REV CT ENV AL X 12 ,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Não
ACECLOFENACO,1039201720011,ACECLOFENACO,100 MG COM REV CT ENV AL X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Não
ACECLOFENACO,1039201720028,ACECLOFENACO,100 MG COM REV CT ENV AL X 16,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Não
ACECLOFENACO,1039201720036,ACECLOFENACO,100 MG COM REV CT ENV AL X 24,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Não
ACECLOFENACO,1039201720044,ACECLOFENACO,100 MG COM REV CT ENV AL X 480 (EMB HOSP),M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Sim
ACECLOFENACO,1058307420075,ACECLOFENACO,100 MG COM REV CT BL AL PLAS OPC X 24,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Não
ACECLOFENACO,1058307420032,ACECLOFENACO,100 MG COM REV CT BL AL PLAS OPC X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Não
ACECLOFENACO,1058307420040,ACECLOFENACO,100 MG COM REV CT BL AL AL X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Não
ACECLOFENACO,1058307420083,ACECLOFENACO,100 MG COM REV CT BL AL AL X 24,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Não
ACECLOFENACO,1023510530030,ACECLOFENACO,100 MG  COM  REV CT BL AL PLAS OPC X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Não
ACECLOFENACO,1023510530049,ACECLOFENACO,100 MG  COM  REV CT BL AL AL X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Não
ACECLOFENACO,1023509200103,FEBUPEN,100 MG COM REV CT BL AL AL X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Não
ACECLOFENACO,1004308170030,PROFLAM,100 MG COM REV CT BL AL/AL X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Não
ACECLOFENACO,1004308170091,PROFLAM,100 MG COM REV CT BL AL / AL X 6,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Não
ACECLOFENACO,1267501560032,ACECLOFENACO,100 MG COM REV CT BL AL AL X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Não
ACECLOFENACO,1267501560075,ACECLOFENACO,100 MG COM REV CT BL AL AL X 24,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Não
ACECLOFENACO,1235201000025,ACECLOFENACO,100 MG COM REV CT STR AL X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Não
ACECLOFENACO,1235201000033,ACECLOFENACO,100 MG COM REV CT 2 STR AL X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Não
ACECLOFENACO,1181900780019,ACECLOFENACO,100 MG COM REV CT BL AL/AL X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Não
ACECLOFENACO,1181900870018,CECOFENE,100 MG COM REV CT BL AL/AL X 12,M01A1 - ANTI-REUMÁTICOS NÃO ESTEROIDAIS PUROS,Não
ACECLOFENACO,1023508410031,ACECLOFENACO,15 MG/G CREM DERM CT BG AL X 30 G,M02A0 - ANTI-REUMÁTICOS E ANALGÉSICOS TÓPICOS,Não
ACECLOFENACO,1004308170014,PROFLAM,15 MG/G CREM DERM CT TB AL X 30 G,M02A0 - ANTI-REUMÁTICOS E ANALGÉSICOS TÓPICOS,Não
ACECLOFENACO,1058305410031,ACECLOFENACO,15 MG/G CREM DERM CT BG AL X 30 G ,M02A0 - ANTI-REUMÁTICOS E ANALGÉSICOS TÓPICOS,Não
ACEPONATO DE METILPREDNISOLONA,1705600850014,ADVANTAN,1 MG/G CREM DERM CT BG AL X 15 G,D07A0 - CORTICOESTERÓIDES TÓPICOS PUROS,Não
ACEPONATO DE METILPREDNISOLONA,1705600850154,ADVANTAN,1 MG/G LOÇÃO CREMOSA CT BG AL X 20 G,D07A0 - CORTICOESTERÓIDES TÓPICOS PUROS,Não
ACEPONATO DE METILPREDNISOLONA,1705600850091,ADVANTAN,1 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML,D07A0 - CORTICOESTERÓIDES TÓPICOS PUROS,Não
ACETATO DE ABIRATERONA,1123634010019,ZYTIGA,250 MG COM CT FR PLAS OPC X 120,L01X9 - TODOS OS OUTROS ANTINEOPLÁSICOS,Não
ACETATO DE BUSSERRELINA,1130000800010,SUPREFACT DEPOT,"3,3 MG/MICROBAST IMPL CT SER APLIC X 2 MICROBAST",L02A3 - ANÁLOGOS HORMONAIS DE LIBERAÇÃO DE GONADOTROFINAS CITOSTÁTICOS,Não
ACETATO DE CASPOFUNGINA,1002900330017,CANCIDAS,50 MG PO LIOF SOL INJ CT FA VD INC,J02A0 - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS,Não
ACETATO DE CASPOFUNGINA,1002900330025,CANCIDAS,70 MG PO LIOF SOL INJ CT FA VD INC,J02A0 - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS,Não
ACETATO DE CETRORRELIX,1008903690013,CETROTIDE,"0,25 MG PO LIOF INJ CT FA VD INC + 1 SER DIL + 2 AGULHAS + 2 TOALHAS",H01C3 - HORMÔNIOS DE LIBERAÇÃO ANTIGONADOTROFINA,Não
ACETATO DE CIPROTERONA,1705600660061,ANDROCUR,100 MG COM CT BL AL PLAS INC X 20,L02B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,Não
ACETATO DE CIPROTERONA,1705600660037,ANDROCUR,50 MG COM CT BL AL PLAS INC X 20,L02B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,Não
ACETATO DE CIPROTERONA,1049712010023,PROSTMAN,50 MG COM CT BL AL PLAS INC X 20,L02B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,Não
ACETATO DE CIPROTERONA,1064601740019,ACETATO DE CIPROTERONA,50 MG COM CT BL AL PLAS INC X 20,L02B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,Não
ACETATO DE CIPROTERONA,1011801610029,CIPROSTAT,50 MG COM CT BL AL PLAS INC X 20,L02B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,Não
ACETATO DE DEGARELIX,1287600170024,FIRMAGON,120 MG PO LIOF INJ CT 2 FA VD INC + 2 DIL 6 ML + 2 SER + 2 AGU + 4 ADAP,L02B9 - OUTROS CITOSTÁTICOS ANTAGONISTAS HORMONAIS,Não
ACETATO DE DEGARELIX,1287600170040,FIRMAGON,120 MG PO LIOF INJ CT 2 FA VD INC + 2 DIL SER PREENCH VD TRANS X 3 ML + 2 ADAP + 2 AGU + 2 ÊMBOLOS,L02B9 - OUTROS CITOSTÁTICOS ANTAGONISTAS HORMONAIS,Não
ACETATO DE DEGARELIX,1287600170016,FIRMAGON,80 MG PO LIOF INJ CT 1 FA VD INC + 1 DIL 6 ML + 1 SER + 1 AGU + 2 ADAP,L02B9 - OUTROS CITOSTÁTICOS ANTAGONISTAS HORMONAIS,Não
ACETATO DE DEGARELIX,1287600170032,FIRMAGON,"80 MG PO LIOF INJ CT 1 FA VD INC + 1 DIL SER PREENCH VD TRANS X 4,2 ML + 1 ADAP + 1 AGU + ÊMBOLO",L02B9 - OUTROS CITOSTÁTICOS ANTAGONISTAS HORMONAIS,Não
ACETATO DE DESMOPRESSINA,1287600150015,DDAVP,"0,1 MG COM CT FR PLAS OPC X 30",H04D0 - HORMÔNIOS ANTIDIURÉTICOS,Não
ACETATO DE DESMOPRESSINA,1287600150023,DDAVP,"0,2 MG COM CT FR PLAS OPC X 30",H04D0 - HORMÔNIOS ANTIDIURÉTICOS,Não
ACETATO DE DESMOPRESSINA,1287600150074,DDAVP,15 MCG /ML SOL INJ CT 1 AMP VD INC X 1ML ,H04D0 - HORMÔNIOS ANTIDIURÉTICOS,Sim
ACETATO DE DESMOPRESSINA,1287600150104,DDAVP,15 MCG /ML SOL INJ CT 1 AMP VD INC X 2ML ,H04D0 - HORMÔNIOS ANTIDIURÉTICOS,Sim
ACETATO DE DESMOPRESSINA,1287600150112,DDAVP,15 MCG /ML SOL INJ CT 10 AMP VD INC X 2ML ,H04D0 - HORMÔNIOS ANTIDIURÉTICOS,Sim
ACETATO DE DESMOPRESSINA,1287600150090,DDAVP,15 MCG /ML SOL INJ CT 10 AMP VD INC X 1ML (EMB FRAC),H04D0 - HORMÔNIOS ANTIDIURÉTICOS,Sim
ACETATO DE DESMOPRESSINA,1287600150120,DDAVP,15 MCG /ML SOL INJ CT 10 AMP VD INC X 2ML  (EMB FRAC),H04D0 - HORMÔNIOS ANTIDIURÉTICOS,Sim
ACETATO DE DESMOPRESSINA,1287600150082,DDAVP,15 MCG /ML SOL INJ CT 10 AMP VD INC X 1ML ,H04D0 - HORMÔNIOS ANTIDIURÉTICOS,Sim
ACETATO DE DESMOPRESSINA,1287600150041,DDAVP,4 MCG/ML SOL INJ CT 10 AMP VD INC X 1 ML,H04D0 - HORMÔNIOS ANTIDIURÉTICOS,Não
ACETATO DE DESMOPRESSINA,1468200220012,D-VOID,"0,1 MG/ML SOL NAS CT FR VD AMB NEB X 5 ML",H04D0 - HORMÔNIOS ANTIDIURÉTICOS,Não
ACETATO DE DESMOPRESSINA,1468200220020,D-VOID,"0,1 MG/ML SOL NAS CT FR VD AMB NEB X 2,5 ML",H04D0 - HORMÔNIOS ANTIDIURÉTICOS,Não
ACETATO DE DESMOPRESSINA,1103901150033,FURP-DESMOPRESSINA,"0,1 MG/ML SOL NAS CT FR VD AMB X 5ML + CAN",H04D0 - HORMÔNIOS ANTIDIURÉTICOS,Sim
ACETATO DE DESMOPRESSINA,1064601720018,ACETATO DE DESMOPRESSINA,"0,1 MG/ML SOL NAS CT FR SPR VD AMB X 2,5 ML",H04D0 - HORMÔNIOS ANTIDIURÉTICOS,Não
ACETATO DE DESMOPRESSINA,1287600150058,DDAVP,"0,1 MG/ML SOL NAS CT FR VD AMB SPR 2,5ML",H04D0 - HORMÔNIOS ANTIDIURÉTICOS,Não
ACETATO DE DESMOPRESSINA,1287600150031,DDAVP,"0,1MG/ML SOL NAS CT FR VD AMB 2,5ML + 2 TUB",H04D0 - HORMÔNIOS ANTIDIURÉTICOS,Não
ACETATO DE DEXAMETASONA,1103900050051,FURP-DEXAMETASONA,"0,1 PCC CR DERM CX 50 BG AL X 10 G (EMB HOSP)",D07A0 - CORTICOESTERÓIDES TÓPICOS PUROS,Sim
ACETATO DE DEXAMETASONA,1057101230019,LISODERME,1 MG CREM DERM CT BG AL X 10 G,D07A0 - CORTICOESTERÓIDES TÓPICOS PUROS,Não
ACETATO DE DEXAMETASONA,1438101450018,ACETATO DE DEXAMETASONA,"1,0 MG/G CREM DERM CT BG AL X 10 G",D07A0 - CORTICOESTERÓIDES TÓPICOS PUROS,Não
ACETATO DE DEXAMETASONA,1542300750016,ACETATO DE DEXAMETASONA,1 MG / G CREM DERM CT BG AL X 10 G,D07A0 - CORTICOESTERÓIDES TÓPICOS PUROS,Não
ACETATO DE DEXAMETASONA,1542300760011,CETADEX,1 MG/G CREM DERM CT BG AL X 10 G ,D07A0 - CORTICOESTERÓIDES TÓPICOS PUROS,Não
ACETATO DE DEXAMETASONA,1201900220011,DEXAGREEN,1 MG/G CREM DERM CT BG AL X 10 G ,D07A0 - CORTICOESTERÓIDES TÓPICOS PUROS,Não
ACETATO DE DEXAMETASONA,1023503330011,DEXADERMIL,1MG/G CREM DERM CT BG AL X 10 G,D07A0 - CORTICOESTERÓIDES TÓPICOS PUROS,Não
ACETATO DE DEXAMETASONA,1023508480013,ACETATO DE DEXAMETASONA,1 MG/G CREM DERM CT BG AL X 10 G  ,D07A0 - CORTICOESTERÓIDES TÓPICOS PUROS,Não
