PRINCÍPIO ATIVO,REGISTRO,PRODUTO,APRESENTAÇÃO,CLASSE TERAPÊUTICA
ACEBROFILINA,1004311580023,FILINAR,10 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED,TOSSE
ACEBROFILINA,1004307850021,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1267500710022,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ,TOSSE
ACEBROFILINA,1267500710049,ACEBROFILINA,10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1256801590063,ACEBROFILINA,10 MG/ ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP),TOSSE
ACEBROFILINA,1256801590071,ACEBROFILINA,10 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1256801590101,ACEBROFILINA,10 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED,TOSSE
ACEBROFILINA,1256801590098,ACEBROFILINA,10 MG/ML XPE CX 50 FR PLAS OPC X 120 ML + 50 CP MED (EMB HOSP),TOSSE
ACEBROFILINA,1038501090048,LISOMUC,10 MG / ML XPE CT FR VD AMB X 100 ML + COP ,TOSSE
ACEBROFILINA,1038501090056,LISOMUC,10 MG / ML XPE CT FR PET AMB X 120 ML + COP,TOSSE
ACEBROFILINA,1038501090064,LISOMUC,10 MG / ML XPE CX 50 FR PET AMB X 120 ML + COP (EMB HOSP),TOSSE
ACEBROFILINA,1356903940019,EXPECDILAT,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1438101310021,ACEBROFILINA,5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1438101310046,ACEBROFILINA,5 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP),TOSSE
ACEBROFILINA,1542301160077,BRONTEK,5 MG/ML XPE CT FR PEAD X 120 ML + CP MED,TOSSE
ACEBROFILINA,1542301160085,BRONTEK,5 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP),TOSSE
ACEBROFILINA,1542301230032,ACEBROFILINA,5MG/ML XPE CT FR VD AMB X 120ML + CP MED,TOSSE
ACEBROFILINA,1542301230075,ACEBROFILINA,5 MG/ML XPE CT FR PEAD X 120 ML + CP MED,TOSSE
ACEBROFILINA,1542301230083,ACEBROFILINA,5 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP),TOSSE
ACEBROFILINA,1542301160034,BRONTEK,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1677301840018,BRONCOLEX,5 MG/ML XPE INF CT FR VD AMB X 120 ML + CP MED X 10 ML,TOSSE
ACEBROFILINA,1677303210011,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1779400170021,BRONFILIL,5 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED,TOSSE
ACEBROFILINA,1832600370016,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + DOSADOR  ,TOSSE
ACEBROFILINA,1053501620016,RESPIRAN,5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1037004620091,ACEBROFILINA,5 MG/ML XPE CT FR PLAS OPC X 120ML + COP MED,TOSSE
ACEBROFILINA,1037004620296,ACEBROFILINA,5MG/ML XPE CT FR PLAS AMB X 120ML + COP,TOSSE
ACEBROFILINA,1037004620016,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120ML ,TOSSE
ACEBROFILINA,1037005630066,DILABRONCO,5 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED,TOSSE
ACEBROFILINA,1046502310026,BRONDYNEO,25MG/5ML XPE INF (VD C/120ML),TOSSE
ACEBROFILINA,1046504180014,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1058303150014,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,TOSSE
ACEBROFILINA,1121303330036,ACEBROFILINA,5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1121303330011,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ,TOSSE
ACEBROFILINA,1023506580010,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1023507750017,BRONCOLEX,5 MG/ML XPE INF CT FR VD AMB X 120 ML + CP MED X 10 ML,TOSSE
ACEBROFILINA,1057301270073,BRONDILAT,5 MG / ML XPE CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML,TOSSE
ACEBROFILINA,1057301270111,BRONDILAT,5 MG / ML XPE CT FR PLAS PET AMB X 60 ML + CP MED X 10 ML,TOSSE
ACEBROFILINA,1049713180011,ACEBROFILINA,5MG/ML XPE CT FR VD AMB X 120ML + SER DOSAD,TOSSE
ACEBROFILINA,1004311580015,FILINAR,5 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED,TOSSE
ACEBROFILINA,1004307850011,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1267500710014,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED  ,TOSSE
ACEBROFILINA,1267500710030,ACEBROFILINA,5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1256801590020,ACEBROFILINA,5 MG/ ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP),TOSSE
ACEBROFILINA,1256801590039,ACEBROFILINA,5 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1256801590111,ACEBROFILINA,5 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED,TOSSE
ACEBROFILINA,1256801590128,ACEBROFILINA,5 MG/ML XPE CX 50 FR PLAS OPC X 120 ML + 50 CP MED (EMB HOSP),TOSSE
ACEBROFILINA,1038501090013,LISOMUC,5 MG / ML XPE  CT FR VD AMB X 100 ML + COP,TOSSE
ACEBROFILINA,1038501090021,LISOMUC,5 MG / ML XPE CT FR PET AMB X 120 ML + COP,TOSSE
ACEBROFILINA,1038501090031,LISOMUC,5 MG / ML XPE CX  50 FR PET AMB X 120 ML + COP (EMB HOSP),TOSSE
ACECLOFENACO,1677303570034,ACECLOFENACO,100 MG COM REV CT BL AL AL X 12,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1677300650101,ACECLO-GRAN,100 MG COM REV CT BL AL AL X 12,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1039200560043,CECLOFLAN,100 MG COM REV CT ENV AL X 12 ,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1039201720011,ACECLOFENACO,100 MG COM REV CT ENV AL X 12,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1039201720028,ACECLOFENACO,100 MG COM REV CT ENV AL X 16,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1039201720036,ACECLOFENACO,100 MG COM REV CT ENV AL X 24,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1039201720044,ACECLOFENACO,100 MG COM REV CT ENV AL X 480 (EMB HOSP),DOR NAS ARTICULAÇÕES
ACECLOFENACO,1058307420075,ACECLOFENACO,100 MG COM REV CT BL AL PLAS OPC X 24,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1058307420032,ACECLOFENACO,100 MG COM REV CT BL AL PLAS OPC X 12,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1058307420040,ACECLOFENACO,100 MG COM REV CT BL AL AL X 12,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1058307420083,ACECLOFENACO,100 MG COM REV CT BL AL AL X 24,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1023510530030,ACECLOFENACO,100 MG  COM  REV CT BL AL PLAS OPC X 12,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1023510530049,ACECLOFENACO,100 MG  COM  REV CT BL AL AL X 12,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1023509200103,FEBUPEN,100 MG COM REV CT BL AL AL X 12,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1004308170030,PROFLAM,100 MG COM REV CT BL AL/AL X 12,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1004308170091,PROFLAM,100 MG COM REV CT BL AL / AL X 6,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1267501560032,ACECLOFENACO,100 MG COM REV CT BL AL AL X 12,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1267501560075,ACECLOFENACO,100 MG COM REV CT BL AL AL X 24,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1235201000025,ACECLOFENACO,100 MG COM REV CT STR AL X 12,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1235201000033,ACECLOFENACO,100 MG COM REV CT 2 STR AL X 12,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1181900780019,ACECLOFENACO,100 MG COM REV CT BL AL/AL X 12,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1181900870018,CECOFENE,100 MG COM REV CT BL AL/AL X 12,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1023508410031,ACECLOFENACO,15 MG/G CREM DERM CT BG AL X 30 G,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1004308170014,PROFLAM,15 MG/G CREM DERM CT TB AL X 30 G,DOR NAS ARTICULAÇÕES
ACECLOFENACO,1058305410031,ACECLOFENACO,15 MG/G CREM DERM CT BG AL X 30 G ,DOR NAS ARTICULAÇÕES
ACETILCISTEÍNA,1008400751128,FLUIMUCIL,200 MG COM EFEV CT BL AL/AL X 16,TOSSE
ACETILCISTEÍNA,1008400751039,FLUIMUCIL,600 MG COM EFEV CT BL AL/AL X 16,TOSSE
ACETILCISTEÍNA,1677302220021,ACETILCISTEÍNA,100 MG GRAN CT 16 ENV AL POLIET X 5 G,TOSSE
ACETILCISTEÍNA,1677302220080,ACETILCISTEÍNA,100 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC),TOSSE
ACETILCISTEÍNA,1046504100010,CETILPLEX,100MG GRAN CT 16 ENV KRAFT POLIET X 5G,TOSSE
ACETILCISTEÍNA,1004307720010,ACETILCISTEÍNA,100 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G,TOSSE
ACETILCISTEÍNA,1542301400248,CISTEIL,120 MG/G GRAN SOL CT 60 ENV AL/PAP X 5G (EMB MULT),TOSSE
ACETILCISTEÍNA,1542301400256,CISTEIL,120 MG/G GRAN SOL CT 200 ENV AL/PAP X 5G (EMB MULT),TOSSE
ACETILCISTEÍNA,1542301400264,CISTEIL,120 MG/G GRAN SOL CT 500 ENV AL/PAP X 5G (EMB MULT),TOSSE
ACETILCISTEÍNA,1542301400213,CISTEIL,120 MG/G GRAN SOL CT 10 ENV AL/PAP X 5G,TOSSE
ACETILCISTEÍNA,1542301400221,CISTEIL,120 MG/G GRAN SOL CT 16 ENV AL/PAP X 5G,TOSSE
ACETILCISTEÍNA,1542301400231,CISTEIL,120 MG/G GRAN SOL CT 50 ENV AL/PAP X 5G (EMB MULT),TOSSE
ACETILCISTEÍNA,1018105010217,ACETILCISTEÍNA,120 MG/G GRAN CT 16 ENV POLIES AL PP X 5 G,TOSSE
ACETILCISTEÍNA,1010702980105,CETIKLINE,120 MG/G GRAN CT 16 ENV AL/PLAS X 5 G,TOSSE
ACETILCISTEÍNA,1010702980113,CETIKLINE,120 MG/G GRAN CT 200 ENV AL/PLAS X 5 G (EMB MULT),TOSSE
ACETILCISTEÍNA,1010702980121,CETIKLINE,120 MG/G GRAN CX 1000 ENV AL/PLAS X 5 G (EMB MULT),TOSSE
ACETILCISTEÍNA,1055001460091,MUCOCETIL,600 MG/5G GRAN CT 16 ENV AL ,TOSSE
ACETILCISTEÍNA,1008400750288,FLUIMUCIL,120 MG/G GRAN CT 16 ENV AL PE X 5 G,TOSSE
ACETILCISTEÍNA,1004307720088,ACETILCISTEINA,600 MG GRAN CT 30 ENV PAPEL AL POLIET X 5 G (EMB FRAC),TOSSE
ACETILCISTEÍNA,1004310060069,AIRES,120 MG/G GRAN CT 16 SACH PAPEL AL POLIET X 5 G,TOSSE
ACETILCISTEÍNA,1004310060050,AIRES,120 MG/G GRAN CT 08 SACH PAPEL AL POLIET X 5 G,TOSSE
ACETILCISTEÍNA,1256801270077,ACETILCISTEÍNA,120 MG/G GRAN CT C/ 16 ENV X 5 G,TOSSE
ACETILCISTEÍNA,1256801270085,ACETILCISTEÍNA,120 MG/G GRAN CT C/ 200 ENV X 5 G (EMB MULT),TOSSE
ACETILCISTEÍNA,1256801270042,ACETILCISTEÍNA,20 MG/ G GRAN CT C/ 16 ENV X 5 G,TOSSE
ACETILCISTEÍNA,1542301400094,CISTEIL,20 MG/G GRAN SOL CT 10 ENV AL/PAP X 5G,TOSSE
ACETILCISTEÍNA,1542301400108,CISTEIL,20 MG/G GRAN SOL CT 16 ENV AL/PAP X 5G,TOSSE
ACETILCISTEÍNA,1542301400116,CISTEIL,20 MG/G GRAN SOL CT 50 ENV AL/PAP X 5G (EMB MULT),TOSSE
ACETILCISTEÍNA,1542301400124,CISTEIL,20 MG/G GRAN SOL CT 60 ENV AL/PAP X 5G (EMB MULT),TOSSE
ACETILCISTEÍNA,1542301400132,CISTEIL,20 MG/G GRAN SOL CT 200 ENV AL/PAP X 5G (EMB MULT),TOSSE
ACETILCISTEÍNA,1542301400140,CISTEIL,20 MG/G GRAN SOL CT 500 ENV AL/PAP X 5G (EMB MULT),TOSSE
ACETILCISTEÍNA,1018105010063,ACETILCISTEÍNA,20 MG/G GRAN CT 16 ENV POLIES AL PP X 5 G,TOSSE
ACETILCISTEÍNA,1055001460059,MUCOCETIL,100 MG/5G GRAN CT 16 ENV AL ,TOSSE
ACETILCISTEÍNA,1008400750261,FLUIMUCIL,20 MG/G GRAN CT 16 ENV AL PE X 5 G,TOSSE
ACETILCISTEÍNA,1004307720045,ACETILCISTEINA,100 MG GRAN CT 30 ENV PAPEL AL POLIET X 5 G (EMB FRAC),TOSSE
ACETILCISTEÍNA,1004310060026,AIRES,20 MG/G GRAN CT 16 SACH PAPEL AL POLIET X 5 G,TOSSE
ACETILCISTEÍNA,1004310060018,AIRES,20 MG/G GRAN CT 08 SACH PAPEL AL POLIET X 5 G,TOSSE
ACETILCISTEÍNA,1256801270050,ACETILCISTEÍNA,20 MG/ G GRAN CT C/ 200 ENV X 5 G (EMB MULT),TOSSE
ACETILCISTEÍNA,1356902810022,NAC,200 MG GRAN  CT 16 ENV AL POLIET X 5 G,TOSSE
ACETILCISTEÍNA,1677302220013,ACETILCISTEÍNA,200 MG GRAN CT 16 ENV AL POLIET X 5 G,TOSSE
ACETILCISTEÍNA,1677302220072,ACETILCISTEÍNA,200 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC),TOSSE
ACETILCISTEÍNA,1046504100037,CETILPLEX,200MG GRAN CT 16 ENV KRAFT POLIET X 5G,TOSSE
ACETILCISTEÍNA,1023505880010,FLUITEÍNA,200 MG GRAN CT 16 ENV AL PE X 5 G,TOSSE
ACETILCISTEÍNA,1023506310013,ACETILCISTEÍNA,200 MG GRAN CT 16 ENV AL POLIET X 5 G ,TOSSE
ACETILCISTEÍNA,1004307720061,ACETILCISTEINA,200 MG GRAN CT 30 ENV PAPEL AL POLIET X 5 G (EMB FRAC),TOSSE
ACETILCISTEÍNA,1004307720029,ACETILCISTEÍNA,200 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G,TOSSE
ACETILCISTEÍNA,1542301400159,CISTEIL,40 MG/G GRAN SOL CT 10 ENV AL/PAP X 5G,TOSSE
ACETILCISTEÍNA,1542301400167,CISTEIL,40 MG/G GRAN SOL CT 16 ENV AL/PAP X 5G,TOSSE
ACETILCISTEÍNA,1542301400175,CISTEIL,40 MG/G GRAN SOL CT 50 ENV AL/PAP X 5G (EMB MULT),TOSSE
ACETILCISTEÍNA,1542301400183,CISTEIL,40 MG/G GRAN SOL CT 60 ENV AL/PAP X 5G (EMB MULT),TOSSE
ACETILCISTEÍNA,1542301400191,CISTEIL,40 MG/G GRAN SOL CT 200 ENV AL/PAP X 5G (EMB MULT),TOSSE
ACETILCISTEÍNA,1542301400205,CISTEIL,40 MG/G GRAN SOL CT 500 ENV AL/PAP X 5G (EMB MULT),TOSSE
ACETILCISTEÍNA,1018105010128,ACETILCISTEÍNA,40 MG/G GRAN CT 16 ENV POLIES AL PP X 5 G,TOSSE
ACETILCISTEÍNA,1010702980075,CETIKLINE,40 MG/G GRAN CT 16 ENV AL/PLAS X 5 G,TOSSE
ACETILCISTEÍNA,1010702980083,CETIKLINE,40 MG/G GRAN CT 200 ENV AL/PLAS X 5 G (EMB MULT),TOSSE
ACETILCISTEÍNA,1010702980091,CETIKLINE,40 MG/G GRAN CX 1000 ENV AL/PLAS X 5 G (EMB MULT),TOSSE
ACETILCISTEÍNA,1055001460075,MUCOCETIL,200 MG/5G GRAN CT 16 ENV AL ,TOSSE
ACETILCISTEÍNA,1049711490048,FLUCISTEIN,40 MG/G GRAN CT 15 ENV POLIET X 5 G,TOSSE
ACETILCISTEÍNA,1008400750271,FLUIMUCIL,40 MG/G GRAN CT 16 ENV AL PE X 5 G,TOSSE
ACETILCISTEÍNA,1008400750601,FLUIMUCIL,40 MG/G GRAN CT 6 ENV AL PE X 5 G,TOSSE
ACETILCISTEÍNA,1004310060042,AIRES,40 MG/G GRAN CT 16 SACH PAPEL AL POLIET X 5 G,TOSSE
ACETILCISTEÍNA,1004310060034,AIRES,40 MG/G GRAN CT 08 SACH PAPEL AL POLIET X 5 G,TOSSE
ACETILCISTEÍNA,1256801270018,ACETILCISTEÍNA,40 MG/ G GRAN CT C/ 16 ENV X 5 G,TOSSE
ACETILCISTEÍNA,1256801270026,ACETILCISTEÍNA,40 MG/ G GRAN CT C/ 200 ENV X 5 G (EMB MULT),TOSSE
ACETILCISTEÍNA,1356902810121,NAC,600 MG GRAN CT 16 ENV AL POLIET X 5 G,TOSSE
ACETILCISTEÍNA,1677302220031,ACETILCISTEÍNA,600 MG GRAN CT 16 ENV AL POLIET X 5 G,TOSSE
ACETILCISTEÍNA,1677302220099,ACETILCISTEÍNA,600 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC),TOSSE
ACETILCISTEÍNA,1058302890057,ACETILCISTEÍNA,600 MG GRAN CT 16 ENV AL POLIET X 5 G,TOSSE
ACETILCISTEÍNA,1023505880088,FLUITEÍNA,600 MG GRAN CT 16 ENV AL PE X 5 G,TOSSE
ACETILCISTEÍNA,1023506310048,ACETILCISTEÍNA,600 MG GRAN CT 16 ENV AL POLIET X 5 G,TOSSE
ACETILCISTEÍNA,1004307720037,ACETILCISTEÍNA,600 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G,TOSSE
ACETILCISTEÍNA,1101300500051,FLUICIS,120 MG/G GRAN EFEV CT 16 ENV AL X 5 G,TOSSE
ACETILCISTEÍNA,1101300500041,FLUICIS,40 MG/G GRAN EFEV CT 16 ENV AL X 5 G,TOSSE
ACETILCISTEÍNA,1049713170016,ACETILCISTEÍNA,10% SOL INJ CT 5 AMP VD AMB X 3 ML,TOSSE
ACETILCISTEÍNA,1163700730011,ACETILCISTEÍNA,100 MG/ML SOL INJ CT 5 AMP VD AMB X 3 ML,TOSSE
ACETILCISTEÍNA,1163700730028,ACETILCISTEÍNA,100 MG/ML SOL INJ CX 100 AMP VD AMB X 3 ML (EMB HOSP),TOSSE
ACETILCISTEÍNA,1163701220023,BROMUC,100 MG/ML SOL INJ CX 100 AMP VD AMB X 3 ML,TOSSE
ACETILCISTEÍNA,1163701220015,BROMUC,100 MG/ML SOL INJ CT 5 AMP VD AMB X 3 ML,TOSSE
ACETILCISTEÍNA,1049711490021,FLUCISTEIN,100 MG/ML SOL INJ CT 5 AMP VD AMB X 3 ML,TOSSE
ACETILCISTEÍNA,1008400750148,FLUIMUCIL,100 MG/ML SOL INJ CT 5 AMP VD AMB X 3 ML,TOSSE
ACETILCISTEÍNA,1008400750441,FLUIMUCIL,"11,50 MG/ML SOL NAS CT FR VD AMB X 20 ML + MICRONEBULIZADOR",TOSSE
ACETILCISTEÍNA,1004307710015,ACETILCISTEÍNA,20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED,TOSSE
ACETILCISTEÍNA,1004307710023,ACETILCISTEÍNA,20 MG/ML XPE CT FR VD AMB X 150 ML + CP MED,TOSSE
ACETILCISTEÍNA,1356902810146,NAC,20 MG/ML XPE CT FR VD AMB X 150 ML + CP MED,TOSSE
ACETILCISTEÍNA,1542301080073,ACETILCISTEÍNA,20 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,TOSSE
ACETILCISTEÍNA,1542301400061,CISTEIL,20 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP),TOSSE
ACETILCISTEÍNA,1542301400078,CISTEIL,20 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,TOSSE
ACETILCISTEÍNA,1677302110031,ACETILCISTEÍNA,20 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,TOSSE
ACETILCISTEÍNA,1558400440015,ACETILCISTEÍNA,20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED,TOSSE
ACETILCISTEÍNA,1037005780025,PNEUMUCIL,20MG/ML XPE CT FR VD AMB X 120ML + COP MED,TOSSE
ACETILCISTEÍNA,1037005800034,ACETILCISTEÍNA,20MG/ML XPE CT FR VD AMB X 120ML + COP MED ,TOSSE
ACETILCISTEÍNA,1046504100053,CETILPLEX,20MG/ML XPE CT FR VD AMB X 100ML,TOSSE
ACETILCISTEÍNA,1010702980016,CETIKLINE,20 MG/ML XPE CT FR VD AMB X 80 ML + COP,TOSSE
ACETILCISTEÍNA,1010702980024,CETIKLINE,20 MG/ML XPE CT FR VD AMB X 100 ML + COP,TOSSE
ACETILCISTEÍNA,1010702980032,CETIKLINE,20 MG/ML XPE CT FR VD AMB X 150 ML + COP,TOSSE
ACETILCISTEÍNA,1010702980040,CETIKLINE,20 MG/ML XPE CX 50 FR VD AMB X 80 ML + 50 COP,TOSSE
ACETILCISTEÍNA,1010702980059,CETIKLINE,20 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 COP,TOSSE
ACETILCISTEÍNA,1010702980067,CETIKLINE,20 MG/ML XPE CX 50 FR VD AMB X 150 ML + 50 COP,TOSSE
